,soldDate,propertyType,address,city,zipOrPostalCode,price,beds,baths,location,squareFeet,lotSize,yearBuilt,ppsf,latitude,longitude,walkScore,bikeScore,transitScore,rentalValue,elementry,middle,high,listPrice
3042,October-6-2023,Single Family Residential,2817 Aragon Way,San Jose,95125.0,1710000.0,3.0,2.0,SAN JOSE,1584.0,6195.0,1961.0,1080.0,37.2731873,-121.9066635,69.0,59.0,32.0,4865.0,6.0,5.0,7.0,1575000.0
3043,December-1-2023,Single Family Residential,2837 Donizetti Ct,San Jose,95132.0,1300000.0,4.0,2.0,San Jose,1125.0,6020.0,1970.0,1156.0,37.3978714,-121.860068,32.0,39.0,45.0,3702.0,5.0,7.0,8.0,
3044,November-1-2023,Single Family Residential,924 Oakdell Pl,San Jose,95117.0,2368000.0,3.0,2.0,SAN JOSE,1712.0,11698.0,1960.0,1383.0,37.3101358,-121.9575095,57.0,65.0,40.0,4406.0,5.0,3.0,6.0,1998888.0
3045,January-26-2024,Single Family Residential,2210 Laurelei Ave,San Jose,95128.0,1785000.0,4.0,2.5,SAN JOSE,2105.0,10189.0,1960.0,848.0,37.3298502,-121.9396227,49.0,72.0,43.0,5146.0,4.0,3.0,6.0,1725000.0
3046,September-25-2023,Single Family Residential,3211 Napa Ct,San Jose,95148.0,1349999.0,4.0,2.0,SAN JOSE,1554.0,6173.0,1971.0,869.0,37.3351751,-121.7954453,,,,,,,,
3047,October-30-2023,Single Family Residential,1814 Dalton Pl,San Jose,95124.0,1800000.0,3.0,2.5,San Jose,1898.0,5218.0,1976.0,948.0,37.2429192,-121.9116343,55.0,43.0,23.0,4739.0,6.0,6.0,8.0,
3048,November-9-2023,Single Family Residential,5463 Century Park Way,San Jose,95111.0,1115000.0,3.0,2.0,SAN JOSE,1400.0,7908.0,1977.0,796.0,37.2589767,-121.7970259,27.0,63.0,39.0,3688.0,5.0,5.0,6.0,899000.0
3049,November-30-2023,Single Family Residential,1237 Carrie Lee Way,San Jose,95118.0,1700000.0,3.0,2.0,SAN JOSE,1532.0,9394.0,1959.0,1110.0,37.2698288,-121.8812984,48.0,58.0,28.0,4116.0,6.0,5.0,6.0,1500000.0
3050,December-13-2023,Single Family Residential,3899 Via Salice,Campbell,95008.0,1870000.0,4.0,2.0,CAMPBELL,1429.0,6534.0,1962.0,1309.0,37.2828745,-121.9694175,,,,,,,,
3051,February-2-2024,Single Family Residential,1518 Treviso Ave,San Jose,95118.0,1800000.0,3.0,2.5,SAN JOSE,1874.0,3049.0,1996.0,961.0,37.2386719,-121.8932007,56.0,54.0,30.0,4913.0,6.0,6.0,9.0,1698000.0
3052,October-16-2023,Single Family Residential,3148 Markwood Ct,San Jose,95148.0,1763000.0,4.0,2.5,SAN JOSE,1931.0,7405.0,1976.0,913.0,37.3271251,-121.7867005,32.0,46.0,26.0,4824.0,7.0,6.0,9.0,1598000.0
3054,September-19-2023,Single Family Residential,1706 Dalton Dr,San Jose,95124.0,1735000.0,4.0,3.0,SAN JOSE,2258.0,5400.0,1976.0,768.0,37.2439246,-121.9095036,53.0,50.0,24.0,4866.0,6.0,6.0,8.0,1600000.0
3055,November-1-2023,Single Family Residential,1785 Hopkins Dr,San Jose,95122.0,1010000.0,3.0,2.0,SAN JOSE,1119.0,6281.0,1959.0,903.0,37.3350574,-121.8295943,32.0,52.0,48.0,3502.0,4.0,2.0,4.0,989888.0
3056,November-27-2023,Single Family Residential,15390 Charmeran Ave,San Jose,95124.0,3150000.0,4.0,3.5,SAN JOSE,2616.0,8006.0,2023.0,1204.0,37.2563359,-121.9384894,55.0,53.0,0.0,3203.0,9.0,8.0,8.0,2998000.0
3057,October-24-2023,Single Family Residential,411 N 12th St,San Jose,95112.0,780000.0,2.0,1.0,SAN JOSE,1012.0,5494.0,1904.0,771.0,37.3487432,-121.8846555,,,,,,,,
3058,October-24-2023,Single Family Residential,2487 Gunar Dr,San Jose,95124.0,2836000.0,6.0,3.5,SAN JOSE,3004.0,11714.0,1965.0,944.0,37.276487,-121.9253198,73.0,69.0,38.0,7588.0,8.0,6.0,9.0,2695000.0
3059,September-15-2023,Single Family Residential,802 Kyle St,San Jose,95127.0,1720000.0,5.0,3.0,SAN JOSE,2634.0,6943.0,1975.0,653.0,37.3866951,-121.843298,,,,,,,,
3060,November-21-2023,Single Family Residential,567 Tuscarora Dr,San Jose,95123.0,1300000.0,3.0,2.0,SAN JOSE,1503.0,6735.0,1967.0,865.0,37.2393665,-121.8330197,,,,,,,,
3061,October-2-2023,Single Family Residential,2775 New Jersey Ave,San Jose,95124.0,1775000.0,3.0,2.0,SAN JOSE,1533.0,7480.0,1962.0,1158.0,37.2712952,-121.926274,70.0,64.0,37.0,4214.0,7.0,6.0,9.0,1498000.0
3062,March-1-2024,Single Family Residential,14570 Wyrick Ave,San Jose,95124.0,1800000.0,3.0,1.0,SAN JOSE,1006.0,10454.0,1952.0,1789.0,37.2569488,-121.923761,24.0,54.0,0.0,3553.0,9.0,8.0,8.0,1799888.0
3063,December-29-2023,Single Family Residential,1777 S White Rd,San Jose,95127.0,1065000.0,4.0,2.0,SAN JOSE,1353.0,6098.0,1969.0,787.0,37.3455292,-121.8099293,46.0,66.0,38.0,3604.0,3.0,3.0,6.0,999000.0
3064,September-15-2023,Single Family Residential,7033 Burnside Dr,San Jose,95120.0,2385000.0,5.0,3.0,SAN JOSE,3046.0,8046.0,1979.0,783.0,37.2088587,-121.8430508,59.0,37.0,19.0,6919.0,7.0,7.0,6.0,2385000.0
3065,February-12-2024,Single Family Residential,109 N King Rd,San Jose,95116.0,897600.0,3.0,1.0,NORTH SAN JOSE,1200.0,4984.0,1946.0,748.0,37.3546553,-121.8577955,,,,,,,,
3066,September-19-2023,Single Family Residential,14846 Cole Dr,San Jose,95124.0,2005000.0,5.0,2.0,SAN JOSE,2138.0,10101.0,1950.0,938.0,37.253471,-121.9284892,43.0,44.0,0.0,5239.0,9.0,8.0,8.0,1699000.0
3067,October-17-2023,Single Family Residential,3684 Meadowlands Ln,San Jose,95135.0,2500000.0,4.0,3.0,SAN JOSE,2866.0,15541.0,1996.0,872.0,37.278882,-121.7442578,4.0,12.0,0.0,6301.0,6.0,7.0,9.0,2495000.0
3068,January-11-2024,Single Family Residential,1127 Summerwings Ct,San Jose,95132.0,1850000.0,5.0,3.0,SAN JOSE,2533.0,5663.0,1975.0,730.0,37.3898205,-121.8533033,66.0,77.0,43.0,5338.0,5.0,6.0,8.0,1625000.0
3069,February-12-2024,Single Family Residential,2614 Meridian Ave,San Jose,95124.0,1808888.0,4.0,2.0,SAN JOSE,1678.0,6534.0,1961.0,1078.0,37.2758436,-121.9088418,20.0,58.0,34.0,4976.0,6.0,5.0,7.0,1488888.0
3070,February-21-2024,Single Family Residential,4824 Poston Dr,San Jose,95136.0,1460000.0,4.0,2.5,SAN JOSE,1732.0,6098.0,1973.0,843.0,37.2648678,-121.8259847,46.0,63.0,47.0,0.0,5.0,3.0,6.0,1398000.0
3071,October-6-2023,Single Family Residential,2719 Valley Heights Dr,San Jose,95133.0,1625000.0,4.0,2.5,SAN JOSE,1787.0,7244.0,1969.0,909.0,37.3783006,-121.8497451,54.0,74.0,46.0,4538.0,4.0,6.0,7.0,1498888.0
